# mdm(GeV)	 mAp(GeV)	 Number of Signal Events
9.1145e-01	1.3264e-03	0.0000e+00
9.5470e-01	1.3264e-03	0.0000e+00
1.0000e+00	1.3264e-03	0.0000e+00
1.0000e-03	1.5276e-03	0.0000e+00
1.0475e-03	1.5276e-03	0.0000e+00
1.0972e-03	1.5276e-03	0.0000e+00
1.1492e-03	1.5276e-03	0.0000e+00
1.2038e-03	1.5276e-03	0.0000e+00
1.2609e-03	1.5276e-03	0.0000e+00
1.3207e-03	1.5276e-03	0.0000e+00
1.3834e-03	1.5276e-03	0.0000e+00
1.4490e-03	1.5276e-03	0.0000e+00
1.5178e-03	1.5276e-03	0.0000e+00
1.5898e-03	1.5276e-03	0.0000e+00
1.6652e-03	1.5276e-03	0.0000e+00
1.7443e-03	1.5276e-03	0.0000e+00
1.8270e-03	1.5276e-03	0.0000e+00
1.9137e-03	1.5276e-03	0.0000e+00
2.0045e-03	1.5276e-03	0.0000e+00
2.0997e-03	1.5276e-03	0.0000e+00
2.1993e-03	1.5276e-03	0.0000e+00
2.3036e-03	1.5276e-03	0.0000e+00
2.4130e-03	1.5276e-03	0.0000e+00
2.5275e-03	1.5276e-03	0.0000e+00
2.6474e-03	1.5276e-03	0.0000e+00
2.7730e-03	1.5276e-03	0.0000e+00
2.9046e-03	1.5276e-03	0.0000e+00
3.0424e-03	1.5276e-03	0.0000e+00
3.1868e-03	1.5276e-03	0.0000e+00
3.3380e-03	1.5276e-03	0.0000e+00
3.4964e-03	1.5276e-03	0.0000e+00
3.6623e-03	1.5276e-03	0.0000e+00
3.8361e-03	1.5276e-03	0.0000e+00
4.0182e-03	1.5276e-03	0.0000e+00
4.2088e-03	1.5276e-03	0.0000e+00
4.4085e-03	1.5276e-03	0.0000e+00
4.6177e-03	1.5276e-03	0.0000e+00
4.8369e-03	1.5276e-03	0.0000e+00
5.0664e-03	1.5276e-03	0.0000e+00
5.3068e-03	1.5276e-03	0.0000e+00
5.5586e-03	1.5276e-03	0.0000e+00
5.8224e-03	1.5276e-03	0.0000e+00
6.0987e-03	1.5276e-03	0.0000e+00
6.3881e-03	1.5276e-03	0.0000e+00
